Estructura,TipoProducto,TipoBolsa,TipoSellado,GrupoFormato,Impreso,Calibre,Valvula,GradoTroquel,UsoZipper,PorcentajeCumplimiento
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,mayor 70,No valvula,no troquel,no zipper,1.094
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,menor igual 70,No valvula,no troquel,no zipper,0.952
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,0.972
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,menor igual 70,No valvula,no troquel,no zipper,1.013
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,0.918
BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.046
BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.056
PEBD BRILLANTE,BOLSA,PLANA,HILO,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,0.996
PET/PET/PEBD,ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,1.057
FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 3,Si,mayor 70,No valvula,no troquel,no zipper,1.066
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,Valvula,Grado alto,no zipper,1.044
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 1,Si,menor igual 70,Valvula,no troquel,no zipper,1.028
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,mayor 70,No valvula,no troquel,no zipper,1.051
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.959
BOPP MATE/FOIL/PEBD,ROLLO,0,0,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,0.971
PET/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.813
BOPA/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.974
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.097
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,0.817
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 4,Si,mayor 100,No valvula,no troquel,no zipper,1.081
BOPP MATE/BOPP METALIZADO/PEBD,BOLSA,FLOW PACK,FLOW PACK 4 SELLES,Grupo 1,Si,mayor 100,No valvula,no troquel,no zipper,0.95
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 4,Si,mayor 100,No valvula,no troquel,no zipper,0.94
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 70,No valvula,no troquel,no zipper,0.99
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 4,Si,mayor 100,No valvula,no troquel,no zipper,0.982
PET MATE/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.101
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.095
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,1.009
FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 3,Si,mayor 70,No valvula,no troquel,no zipper,1.095
PET/FLEXIBLE (PA-PE),BOLSA,FLOW PACK,FLOW PACK 4 SELLES,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,0.961
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.08
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 4,Si,mayor 100,No valvula,no troquel,no zipper,1.054
BOPA/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,0.98
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,1.047
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,1.106
PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,1.058
PET/FOIL/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.987
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,1.123
PET/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.988
