Estructura,TipoProducto,TipoBolsa,TipoSellado,GrupoFormato,Impreso,Calibre,Valvula,GradoTroquel,UsoZipper,PorcentajeCumplimiento
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,SI,>100,SI,GRADO ALTO,NO,0.214
BOPP MATE/PET METALIZADO/PEBD,ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,>100,NO APLICA,NO APLICA,NO APLICA,0.215
BOPA/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,SI,<=100,SI,NO TROQUEL,NO,0.216
PET/COEXT. HBA (PE-EVOH),ROLLO,NO APLICA,NO APLICA,Grupo 3,NO,<=100,NO APLICA,NO APLICA,NO APLICA,0.22
BOPP MATE/FOIL/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,SI,>100,SI,GRADO BAJO,SI,0.221
PET/COEXT. HBA (PE-EVOH),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,SI,<=100,NO,NO TROQUEL,NO,0.227
PET/FOIL/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 4,SI,>100,SI,NO TROQUEL,NO,0.235
PET/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,NO APLICA,NO APLICA,Grupo 3,NO,<=100,NO APLICA,NO APLICA,NO APLICA,0.236
FLEXIBLE (PA-PE),ROLLO,NO APLICA,NO APLICA,Grupo 3,NO,<=100,NO APLICA,NO APLICA,NO APLICA,0.237
FLEXIBLE (PA-PE),BOLSA,TIPO GALON,FLOW PACK 4 SELLES,Grupo 1,SI,>100,NO,GRADO ALTO,NO,0.247
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,SI,>100,NO,GRADO ALTO,SI,0.251
PET/PET METALIZADO/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,<=100,NO APLICA,NO APLICA,NO APLICA,0.253
PET MATE/FOIL/FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,SI,>100,NO,GRADO BAJO,SI,0.257
PET/FOIL/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,>100,NO,NO TROQUEL,NO,0.262
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,SI,>100,SI,GRADO ALTO,NO,0.265
BOPPMATE/PET METALIZADO/PEBD,ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,>100,NO APLICA,NO APLICA,NO APLICA,0.266
PEADIMP/FLEXIBLE (PA-PE) R,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,SI,>100,NO,NO TROQUEL,SI,0.275
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,SI,>100,SI,NO TROQUEL,NO,0.282
PEBD/COEXT. HBA (PE-EVOH),BOLSA,FLOW PACK,FLOW PACK,Grupo 2,NO,>100,NO,NO TROQUEL,NO,0.285
PET/PEADTS,ROLLO,NO APLICA,NO APLICA,Grupo 2,SI,<=100,NO APLICA,NO APLICA,NO APLICA,0.293
PEADTS-AB,BOLSA,FLOW PACK,FLOW PACK 4 SELLES,Grupo 1,SI,<=100,SI,NO TROQUEL,NO,0.293
BOPA/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,<=100,NO APLICA,NO APLICA,NO APLICA,0.294
BOPP MATE/PEBD,BOLSA,PLANA,LATERAL+SEGURIDAD,Grupo 2,SI,<=100,NO,GRADO ALTO,SI,0.295
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,SI,<=100,NO,NO TROQUEL,NO,0.302
PET/COEXT. HBA (PE-EVOH),ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,<=100,NO APLICA,NO APLICA,NO APLICA,0.307
BOPP PLANO/BOPP METALIZADO/PEBD,BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 2,SI,>100,NO,GRADO BAJO,SI,0.307
PEBD/COEXT. HBA (PE-EVOH),BOLSA,PLANA 2 LAMINAS,LATERAL+FONDO+SEGURIDAD,Grupo 4,NO,>100,NO,NO TROQUEL,NO,0.307
PEADIMP/PEADTS-AB,BOLSA,FLEX UP,FLEX UP,Grupo 1,SI,>100,SI,GRADO ALTO,NO,0.308
PET METALIZADO/FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,<=100,NO,NO TROQUEL,NO,0.32
BOPP MATE/PEBD,ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,>100,NO APLICA,NO APLICA,NO APLICA,0.325
PET/FOIL/PEBD,ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,<=100,NO APLICA,NO APLICA,NO APLICA,0.328
PET/COEXT. HBA (PE-EVOH),ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,<=100,NO APLICA,NO APLICA,NO APLICA,0.328
PET/FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 2,SI,>100,SI,NO TROQUEL,NO,0.33
BOPA/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,<=100,NO APLICA,NO APLICA,NO APLICA,0.333
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,NO,>100,NO,GRADO BAJO,SI,0.336
PET/COEXT. HBA (PE-EVOH),ROLLO,NO APLICA,NO APLICA,Grupo 3,SI,<=100,NO APLICA,NO APLICA,NO APLICA,0.337
