PorcentajeCumplimiento,CombinedFeature
1.094,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_mayor 70_No valvula_no troquel_no zipper
0.952,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
0.972,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.013,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_menor igual 70_No valvula_no troquel_no zipper
0.918,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.046,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.056,BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.996,PEBD BRILLANTE_BOLSA_PLANA_HILO_Grupo 1_Si_menor igual 100_No valvula_no troquel_no zipper
1.057,PET/PET/PEBD_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
1.066,FLEXIBLE (PA-PE)_BOLSA_FLEX UP_MULTIFLEX UP SIN SELLE DE FONDO_Grupo 3_Si_mayor 70_No valvula_no troquel_no zipper
1.044,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_Grado alto_no zipper
1.028,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.051,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_mayor 70_No valvula_no troquel_no zipper
